"Instructions                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                1. Any cells highlighted in yellow require your input. Please note that your seat affiliation is prefilled, so that we may better contextualize group responses.
2. Please rate each issue either “High”, “Medium”, or “Low” priority. Use the pull-down menu to select a rating. You can only select a rating of “High” 10 times, “Medium” 11 times, and “Low” 11 times. There is a counter at the top of the spreadsheet to help you track these numbers as you go.
3. If you think we missed an issue, please write it in the “Other” box at the bottom of each focus area. We also have an “Other” option if you think we missed a focus area. If you do write-in an “Other” issue, please do not rate it - we will collate responses for a group discussion at the November meeting.",,,,No. of High Issues (10),10
OCNMS,Ocean Literacy,Pre K-12 education includes K12 partnerships and place-based education. It also includes OCNMS support for NOAA's Bay Watershed Education and Training (B-WET) program which provides regional funding through competitive grants to support place-based experiential learning for K-12 students and related professional development for teachers.,Pre K-12 education,Medium,
OCNMS,Ocean Literacy,"OCNMS is in a unique position to show leadership in the region in promoting career-building opportunities in marine sciences, education, management and policy. This includes collaborate with universities, colleges and community colleges to improve higher educational opportunities for students and encourage students to pursue ocean and marine-related fields.",Higher education,Medium,
OCNMS,Ocean Literacy,"Working with local communities to encourage sustainable tourism in and around the sanctuary, OCNMS' visitor services program provides a wide range of interpretive products and services that contribute to high quality educational experiences for visitors. Examples such as its visitor center, place-based interpretive programs, displays, kiosks, signage, printed materials, website, and social media, work to raise awareness and promote stewardship of sanctuary resources.",Visitor services and interpretive content,Low,
OCNMS,Ocean Literacy,"Other? Write out a brief description of any new/additional topics that you think should be prioritized. Score it in Column D, but note you are still limited to the total numer of scores (10-High, 11-Medium, and 11-Low)","Write in ""other"" here, if applicable",Do not score,
,Assessing Condition of Sanctuary (7),"Assessing and monitoring the conditions of sanctuary resources, both natural and cultural, are a critical part of sanctuary management. Related research and monitoring efforts have always been a major focus for the sanctuary.

Past efforts have included the inclusion of local and customary knowledge, and monitoring of water quality, intertidal habitats, benthic habitats, and living natural resouces. The topics of changing ocean condition and seafloor characterizition are currently listed under their own focus areas.",,"Do not score

Focus Area description",
OCNMS,Assessing Condition of Sanctuary,"Ongoing changes to the climate and marine ecosystems have been documented, yet there is considerable uncertainty about current and future consequences at local, ecosystem and ocean-wide scales. Increased coordination and cooperation among resource management agencies would improve planning, monitoring and adaptive management to address this phenomenon. Monitoring data can serve as a baseline, especially through the continuation of long-term data sets, from which to assess changes in the coastal ecosystem that may occur as a result of climate change. This includes hypoxia, ocean acidification, harmful algal blooms, marine heatwaves, multi-stressors, species assemblages, adaptations, and communicating to the public.",Changing ocean conditions,High,
OCNMS,Assessing Condition of Sanctuary,"The Sanctuary and its partners have made progress mapping habitats in the sanctuary, but much work remains to be done. There is a need to complete characterization of seafloor habitats and identify species habitat associations to effectively inform management decisions. This includes regional coordination, habitat mapping, summary metrics, support for the IPC habitat framework, and synthesis of existing data and new data acquisitions in order to update the OCNMS seafloor atlas.",Characterizing seafloor habitat,Low,
OCNMS,Assessing Condition of Sanctuary,"A scientific research program that focuses on improved understanding of ecological populations and communities, and ecosystem-level processes within the sanctuary is important for understanding the conditions of sanctuary resources. This includes continued support of collaborative, long term biological monitoring projects in the intertidal (MARINe) and subtidal (NWFSC kelp forest monitoring). Monitoring efforts can include examining species-habitat associations, ecosystem-level disturbances, invasive species monitoring, and seabird and marine mammal monitoring. Other projects may include monitoring water column communities, benthic communities (e.g., deep sea coral and sponge communities), and collaborative assessments of damages to biological resources. ",Biological monitoring and ecosystem processes,High,
OCNMS,Assessing Condition of Sanctuary,"OCNMS conducts long term oceanographic monitoring through its mooring program. These data are used to track changes in sea surface temperature, ocean acidification, hypoxia, and other oceanographic conditions in the sanctuary. This includes collaborative partnerships with SanctSound, Quinault Natural Resources (e.g., Harmful Algal Bloom sampling), Pacific Marine Environmental Laboratory (Phytoplaknton Sampler units, Noise Reference Stations), Northwest Fisheries Science Center (Ecological Acoustic Recorders), and other NOAA line offices.",Long-term oceanographic monitoring ,Medium,
OCNMS,Assessing Condition of Sanctuary,"The 2008-2019 OCNMS Condition Report defines ecosystem services as the tangible and intangible benefits people derive from a place. The following types of ecosystem services are of relevance to OCNMS, and were assessed in the Condition Report: consumptive recreation, non-consumptive recreation, science, education, heritage, sense of place, commercial harvest, subsistence harvest, and ornamentals.",Ecosystem services,High,
OCNMS,Assessing Condition of Sanctuary,"Characterizing, protecting, and enhancing public awareness of the sanctuary's maritime heritage (including living cultures, cultural resources, and local and customary knowledge) is an important role of OCNMS – and a role mandated by Section 110 of the National Historic Preservation Act.",Maritime heritage resources,Medium,
OCNMS,Assessing Condition of Sanctuary,"Processing, analyzing, and reporting OCNMS data collection efforts in a timely manner has been a challenge for OCNMS staff in recent years, particularly given decreasing resources to support this work. Often, OCNMS receives funding to conduct research projects, but not the funding to support data processing and analysis after data is collected. OCNMS' ability to manage, share, and report the data it collects directly affects its ability to support an ecosystem-based management framework and the ability of OCNMS partners to make informed management decisions. OCNMS can work on improving its data management, sharing and reporting efforts for the benefit of OCNMS and all its partners.","Data management, sharing and reporting",Low,
OCNMS,Assessing Condition of Sanctuary,"Other? Write out a brief description of any new/additional topics that you think should be prioritized. Score it in Column D, but note you are still limited to the total numer of scores (10-High, 11-Medium, and 11-Low)","Write in ""other"" here, if applicable",Do not score,
,Protecting Resources in the Sanctuary (9),"The primary mandate of the Office of National Marine Sanctuaries is to protect sanctuary resources. Therefore, it is OCNMS' responsibility to reduce threats to sanctuary resource sustainability and condition.",,"Do not score

Focus Area description",
OCNMS,Protecting Resources in the Sanctuary,"When OCNMS was designated in 1994, NOAA issued regulations to protect sanctuary resources. These regulations outline prohibited activities in the sanctuary, as well as the requirements of the sanctuary’s permitting program, through which permits can be issued to conduct an otherwise prohibited activity for a limited number of reasons. Additionally, under Section 304(d) of the National Marine Sanctuaries Act, federal agencies must consult with OCNMS whenever their proposed actions are likely to destroy, cause the loss of, or injure a sanctuary resource. OCNMS helps protect sanctuary resources by responding to permit and consultation requests.",Permiting and consultation,Low,
OCNMS,Protecting Resources in the Sanctuary,"Enforcement of sanctuary regulations and permit conditions, and response to incidents of violating said regulations and conditions, are an important aspect of protecting sanctuary resources. Encouraging voluntary compliance with regulations and requirements through conducting public outreach on prohibited activities and voluntary best practices also complements formal enforcement actions. ",Enforcement and voluntary compliance ,Low,
OCNMS,Protecting Resources in the Sanctuary,"Preventing, preparing for, and responding to hazardous spills continues to be an important means of protecting OCNMS resources. As compliance with the Area to be Avoided (ATBA), a voluntary vessel routing measure, is OCNMS' primary strategy to prevent oil spills, continued outreach on the ATBA and compliance monitoring efforts is likewise important.","Spill prevention, preparedness, and response",Medium,
OCNMS,Protecting Resources in the Sanctuary,"Marine debris is any persistent, manufactured, or processed solid material that is directly or indirectly, intentionally or unintentionally, disposed of or abandoned in the marine environment. Removing marine debris from the ocean and beaches, and working with partners to reduce the production and disposal of materials that frequently become marine debris, are both important to protecting the health of the sanctuary and the wildlife that inhabit it.",Marine debris,Low,
OCNMS,Protecting Resources in the Sanctuary,"Human activities can cause a number of acoustic, physical, and visual effects that can disturb and impact wildlife in OCNMS. Impacts can range from lower-level disturbances such as flushing birds from their nesting roosts or marine mammals from haulout areas, to injury and death, such as through entanglements and vessel strikes. Sources of these impacts in OCNMS could include low-flying aircraft, the use of personal motorized vessels, industry-associated vessels, close approach to wildlife aggregation areas (either humans on foot or in a vessel), or military exercises.",Wildlife disturbance and impacts,High,
OCNMS,Protecting Resources in the Sanctuary,"OCNMS strives to maintain and improve water quality in the sanctuary. While the condition report found water quality to be in good/fair condition, there are some areas of concern. There are increasing concerns about ocean acidification, harmful algal blooms and hypoxic events. Vessel discharges include off-shore seafood processing, ballast water, cruise ship discharges, exhaust gas cleaning systems, black and gray water. There are also several contaminants of emerging concern, including pharmaceuticals, detergents, personal care products, microplastics, and others that enter marine waters through wastewater treatment plants, stormwater outfalls and runoff, industrial outfalls, aquaculture operations, landfills, and agricultural runoff.","Water quality protection
",High,
OCNMS,Protecting Resources in the Sanctuary,"Maintaining both maritime and environmental safety is a common goal of marine industry and governments with authority in the region. Improvements to navigational aids, nautical charts and vesssel routing can improve marine safety and reduce the risk of environmental impacts from oil spills.",Vessel issues,Low,
OCNMS,Protecting Resources in the Sanctuary,"Healthy habitats support healthy marine populations and communities, including exploited fishery resources. Habitat protection references actions taken to prevent, mitigate, or eliminate degradation of marine habitats in the sanctuary. Such actions must be supported by research and monitoring efforts that improve our understanding of functions and values of marine habitats, document how, when and where habitat degradation occurs, and evaluate the effectiveness of management responses. OCNMS works collaboratively to understand potential habitat impacts in the sanctuary and identify habitats of special concern critical to ecosystem functioning in the sanctuary. A key activity is sanctuary support for the development of the Intergovernmental Policy Council’s Habitat Framework. ",Habitat protection,Medium,
OCNMS,Protecting Resources in the Sanctuary,"Non-indigenous species are any plants, invertebrates, vertebrates, parasites, and even diseases that are introduced into a non-native environment. Invasive species are non-indigenous species that establish and cause harm to a non-native environment. OCNMS works collaboratively to reduce the potential for introduction of non-indigenous species in the sanctuary region, monitor distributions of known non-indigenous and invasive species, and support programs to mitigate the impacts of invasive species to natural and cultural resources.",Non-indigenous and invasive species,Medium,
OCNMS,Protecting Resources in the Sanctuary,"Other? Write out a brief description of any new/additional topics that you think should be prioritized. Score it in Column D, but note you are still limited to the total numer of scores (10-High, 11-Medium, and 11-Low)","Write in ""other"" here, if applicable",Do not score,
,"Sanctuary Management, Operations, Staffing and Facilities (5)","The management of the Olympic Coast National Marine Sanctuary is authorized by the National Marine Sanctuary Act, and its designation document. Sanctuary management include sanctuary operations, staffing, annual planning, contracting, volunteer support, consultations, management plan implementation, and program evaluation.",,"Do not score

Focus Area description",
OCNMS,"Sanctuary Management, Operations, Staffing and Facilities","In order to effectively address any of the other focus areas and topics, OCNMS needs to maintain basic staffing, infrastructure and administrative functions. Such maintenance includes research vessel and on-water capabilities, adequate staff and volunteers, adequate facilities and other infrastructure, management of contracts, and an appropriate annual budget. 
",OCNMS capacity,High,
OCNMS,"Sanctuary Management, Operations, Staffing and Facilities","Develop and maintain a framework that enables OCNMS to periodically/regularly evaluate management effectiveness, including response to emerging issues that are not included in the Management Plan.",Evaluation of management effectiveness,Low,
OCNMS,"Sanctuary Management, Operations, Staffing and Facilities","Management plan review may consider a review of a sanctuary's terms of designation, which includes the characteristics of the area that give it value and sanctuary boundaries.",Review of terms of designation,Low,
OCNMS,"Sanctuary Management, Operations, Staffing and Facilities","Given the length of time since OCNMS's regulations were initially issued in 1994 and issues that have since emerged, review of these regulations should be considered and may lead to regulatory adjustments. Examples include regulatory clarifications that may be useful regarding overflights (e.g., Copalis Airport and drones), and military and Coast Guard operations.",Regulatory adjustments,Low,
OCNMS,"Sanctuary Management, Operations, Staffing and Facilities","Facilitating compatible and sustainable human uses of sanctuary resources is an important role of OCNMS. This includes the evaluation of public and private uses of sanctuary resources, such as; commercial development, aquaculture, fiber optic cables, alternative energy, and desalination.",Public and private resource use,Low,
OCNMS,"Sanctuary Management, Operations, Staffing and Facilities","Other? Write out a brief description of any new/additional topics that you think should be prioritized. Score it in Column D, but note you are still limited to the total numer of scores (10-High, 11-Medium, and 11-Low)","Write in ""other"" here, if applicable",Do not score,
OCNMS,OTHER FOCUS AREA(S)?,Other? Write out a brief description of any new/additional focus area that you think should be prioritized.,"Write in ""other"" here, if applicable",Do not score,
